MRpx,MRpy,MRth,CRpx,CRpy,CRth,count,Time
477.81,625.44,345.62,853.32,852.55,15.58,2058,1737401917773658492
477.81,625.44,345.61,853.32,852.55,15.58,2059,1737401917830398727
477.81,625.44,345.61,853.32,852.55,15.58,2060,1737401917901861325
477.81,625.43,345.63,853.32,852.55,15.58,2061,1737401917939070805
477.81,625.43,345.61,853.32,852.55,15.59,2062,1737401918018096935
477.81,625.43,345.62,853.32,852.55,15.59,2063,1737401918068097691
477.81,625.44,345.62,853.32,852.55,15.59,2064,1737401918120219181
477.81,625.44,345.62,853.32,852.55,15.59,2065,1737401918153157525
477.81,625.43,345.62,853.32,852.55,15.58,2066,1737401918188231345
477.81,625.43,345.62,853.32,852.55,15.59,2067,1737401918234293872
477.81,625.44,345.62,853.32,852.55,15.59,2068,1737401918293057508
477.81,625.44,345.61,853.32,852.55,15.58,2069,1737401918324098414
477.81,625.43,345.61,853.32,852.55,15.59,2070,1737401918359461622
477.81,625.43,345.62,853.32,852.55,15.59,2071,1737401918403274415
477.81,625.44,345.62,853.32,852.55,15.59,2072,1737401918436203315
477.81,625.44,345.61,853.32,852.55,15.59,2073,1737401918483950077
477.81,625.44,345.62,853.32,852.55,15.59,2074,1737401918534088870
477.81,625.44,345.61,853.32,852.55,15.59,2075,1737401918608203589
477.81,625.43,345.61,853.32,852.55,15.59,2076,1737401918654519023
477.81,625.43,345.61,853.32,852.55,15.59,2077,1737401918697519355
477.81,625.44,345.62,853.32,852.55,15.59,2078,1737401918752386300
477.81,625.43,345.61,853.32,852.55,15.58,2079,1737401918819169393
477.81,625.43,345.6,853.32,852.55,15.58,2080,1737401918855146173
477.81,625.44,345.61,853.32,852.56,15.59,2081,1737401918900862442
477.8,625.44,345.61,853.32,852.56,15.59,2082,1737401918957608399
477.81,625.43,345.61,853.32,852.55,15.58,2083,1737401918991072094
477.81,625.44,345.61,853.32,852.56,15.59,2084,1737401919031652082
477.81,625.44,345.62,853.32,852.55,15.59,2085,1737401919072472940
477.81,625.44,345.61,853.32,852.56,15.58,2086,1737401919132717016
477.81,625.44,345.61,853.32,852.55,15.59,2087,1737401919163063646
477.81,625.44,345.62,853.32,852.55,15.58,2088,1737401919202282787
477.81,625.43,345.62,853.32,852.55,15.58,2089,1737401919242042666
477.81,625.44,345.61,853.32,852.55,15.58,2090,1737401919276646042
477.81,625.44,345.62,853.32,852.55,15.58,2091,1737401919319696949
477.81,625.44,345.61,853.32,852.55,15.58,2092,1737401919371882216
477.81,625.44,345.62,853.32,852.55,15.58,2093,1737401919415496362
477.81,625.44,345.62,853.32,852.56,15.58,2094,1737401919513278806
477.81,625.43,345.62,853.33,852.55,15.59,2095,1737401919563119396
477.81,625.44,345.62,853.32,852.55,15.59,2096,1737401919606802578
477.81,625.43,345.6,853.32,852.55,15.59,2097,1737401919647924046
477.81,625.44,345.62,853.32,852.55,15.59,2098,1737401919702611769
477.81,625.44,345.61,853.32,852.55,15.58,2099,1737401919739096288
477.81,625.44,345.61,853.32,852.56,15.58,2100,1737401919771949225
477.81,625.44,345.62,853.32,852.56,15.58,2101,1737401919817575142
477.81,625.43,345.61,853.33,852.56,15.59,2102,1737401919872383291
477.81,625.44,345.61,853.32,852.55,15.58,2103,1737401919908526699
477.81,625.44,345.61,853.33,852.56,15.58,2104,1737401919948405467
477.81,625.43,345.61,853.33,852.56,15.59,2105,1737401920008829562
477.81,625.43,345.61,853.32,852.56,15.58,2106,1737401920058408819
477.81,625.44,345.61,853.33,852.55,15.59,2107,1737401920097567033
477.81,625.44,345.61,853.33,852.55,15.59,2108,1737401920154383324
477.81,625.43,345.6,853.33,852.55,15.58,2109,1737401920188447962
477.81,625.43,345.61,853.33,852.55,15.58,2110,1737401920221921064
477.81,625.44,345.61,853.33,852.56,15.58,2111,1737401920270273584
477.81,625.43,345.61,853.32,852.55,15.59,2112,1737401920321333410
477.81,625.44,345.62,853.32,852.56,15.59,2113,1737401920402418979
477.81,625.43,345.61,853.32,852.55,15.59,2114,1737401920455200393
477.82,625.43,345.61,853.32,852.56,15.58,2115,1737401920501801252
477.82,625.44,345.61,853.32,852.56,15.58,2116,1737401920556726826
477.82,625.43,345.61,853.32,852.55,15.58,2117,1737401920628006406
477.82,625.43,345.62,853.32,852.56,15.58,2118,1737401920679623861
477.82,625.43,345.61,853.32,852.55,15.58,2119,1737401920716711767
477.82,625.43,345.62,853.32,852.55,15.58,2120,1737401920774102223
477.82,625.43,345.61,853.32,852.56,15.58,2121,1737401920807325955
477.82,625.44,345.61,853.32,852.56,15.58,2122,1737401920842084072
477.82,625.43,345.61,853.32,852.55,15.58,2123,1737401920887596101
477.82,625.44,345.61,853.32,852.56,15.58,2124,1737401920938889667
477.82,625.43,345.62,853.32,852.55,15.58,2125,1737401920978182826
477.81,625.44,345.61,853.32,852.56,15.58,2126,1737401921014577919
477.82,625.44,345.61,853.32,852.55,15.58,2127,1737401921057643012
477.81,625.44,345.62,853.32,852.56,15.58,2128,1737401921107726787
477.81,625.44,345.62,853.32,852.56,15.59,2129,1737401921149251976
477.81,625.44,345.62,853.32,852.55,15.58,2130,1737401921184298111
477.81,625.43,345.62,853.32,852.55,15.58,2131,1737401921226965408
477.81,625.44,345.62,853.32,852.56,15.58,2132,1737401921263162484
477.81,625.44,345.62,853.32,852.55,15.58,2133,1737401921305628190
477.81,625.44,345.61,853.32,852.56,15.58,2134,1737401921355496613
477.81,625.43,345.61,853.32,852.55,15.59,2135,1737401921403402024
477.81,625.44,345.61,853.32,852.56,15.58,2136,1737401921452958467
477.81,625.43,345.62,853.32,852.55,15.59,2137,1737401921487938954
477.81,625.43,345.62,853.32,852.55,15.58,2138,1737401921524366845
477.81,625.43,345.61,853.32,852.55,15.59,2139,1737401921613921463
477.81,625.42,345.6,853.32,852.55,15.58,2140,1737401921668254985
477.81,625.43,345.61,853.32,852.55,15.58,2141,1737401921702659418
